Date,Low_var1,Low_var2,High_var1,High_var2,proba,multinom,regime
2018-01-08,0.80629994,0.18462316,0.009060303,1.66E-05,0.80629994,Low_var1,0
2018-01-15,0.540023492,0.442547661,0.01740315,2.57E-05,0.540023492,Low_var1,0
2018-01-22,0.572351761,0.223525268,0.203600264,0.000522708,0.572351761,Low_var1,0
2018-01-29,0.417059139,0.05474328,0.527200381,0.0009972,0.527200381,High_var1,0.7
2018-02-05,0.038936751,0.000317953,0.956477146,0.004268151,0.956477146,High_var1,0.7
2018-02-12,0.016998141,0.005765358,0.975939799,0.001296702,0.975939799,High_var1,0.7
2018-02-19,0.026742554,0.003791753,0.96896145,0.000504243,0.96896145,High_var1,0.7
2018-02-26,0.042144243,0.020336263,0.937227154,0.00029234,0.937227154,High_var1,0.7
2018-03-05,0.075464686,0.002279774,0.921853624,0.000401916,0.921853624,High_var1,0.7
2018-03-12,0.246608894,0.009156658,0.743978176,0.000256272,0.743978176,High_var1,0.7
2018-03-19,0.336305132,0.051982579,0.611448087,0.000264201,0.611448087,High_var1,0.7
2018-03-26,0.168879298,0.163604739,0.665342833,0.00217313,0.665342833,High_var1,0.7
2018-04-02,0.494635971,0.273619035,0.231619628,0.000125366,0.494635971,Low_var1,0
2018-04-09,0.76425696,0.180561837,0.055151117,3.01E-05,0.76425696,Low_var1,0
2018-04-16,0.617248443,0.378058542,0.004688518,4.50E-06,0.617248443,Low_var1,0
2018-04-23,0.536891568,0.459686972,0.003416218,5.24E-06,0.536891568,Low_var1,0
2018-04-30,0.941576668,0.051649782,0.006758925,1.46E-05,0.941576668,Low_var1,0
2018-05-07,0.948911063,0.045427949,0.005650356,1.06E-05,0.948911063,Low_var1,0
2018-05-14,0.415397649,0.582672947,0.0019266,2.80E-06,0.582672947,Low_var2,0.4
2018-05-21,0.605388871,0.389638956,0.004962792,9.38E-06,0.605388871,Low_var1,0
2018-05-28,0.75804712,0.191209948,0.05058618,0.000156752,0.75804712,Low_var1,0
2018-06-04,0.56768169,0.349552569,0.082681377,8.44E-05,0.56768169,Low_var1,0
2018-06-11,0.702468051,0.138469289,0.158809307,0.000253353,0.702468051,Low_var1,0
