2018-02-02,2018-02-09,2018-02-16,2018-02-23,2018-03-02,2018-03-09,2018-03-16,2018-03-23,2018-03-30,2018-04-06,2018-04-13,2018-04-20,2018-04-27,2018-05-04,2018-05-11,2018-05-18,2018-05-25,2018-06-01,2018-06-08,2018-06-15,2018-06-22,2018-06-29,2018-07-06,2018-07-13,2018-07-23,2018-07-30,2018-08-06,2018-08-13,2018-08-20,2018-08-27,2018-09-03,2018-09-10,2018-09-17,2018-09-24,2018-10-01,2018-10-08,2018-10-15,2018-10-22,2018-10-29,2018-11-05,2018-11-12,2018-11-19,2018-11-26,2018-12-03,2018-12-10,2018-12-14,2018-12-21,2018-12-28,2019-01-04,2019-01-11,2019-01-18,2019-01-25,2019-02-01,2019-02-08,2019-02-20,2019-02-27,2019-03-06,2019-03-13,2019-03-20,2019-03-27,2019-04-03,2019-04-10,2019-04-22,2019-04-29,2019-05-06,2019-05-13,2019-05-20,2019-05-27,2019-06-03,2019-06-10,2019-06-14,2019-06-21,2019-06-28,2019-07-05,2019-07-12,2019-07-19,2019-07-26,2019-08-02,2019-08-09,2019-08-16,2019-08-23,2019-08-30,2019-09-06,2019-09-13,2019-09-20,2019-09-27,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,2020-03-20,2020-03-27,2020-04-03,2020-04-10,2020-04-17,2020-04-24,2020-05-01,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-12,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-02-02,2021-02-09,2021-02-16,2021-02-23,2021-03-02,2021-03-09,2021-03-16,2021-03-23,2021-03-30,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,6840,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330
27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,27410,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930
282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,282330,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,138930,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160
1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,79160,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830
97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,97950,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990
5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,5830,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090,114090
990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930,78930
